                             stationName                              | reprocessingEfficiency | reprocessingStationsTake |                                                                                                                                     string_agg                                                                                                                                     
 Iderion XI - Moon 13 - Amarr Civil Service Information Center        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Nardiarang II - The Scope Development Studio                         |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Gambling,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Shera IX - Moon 4 - Imperial Shipment Storage                        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Bantish I - Moon 1 - Amarr Trade Registry Information Center         |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Azedi III - Emperor Family Bureau                                    |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Alal IX - Moon 13 - Core Complexion Inc. Factory                     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Galnafsad VI - Moon 18 - Poteque Pharmaceuticals Biotech Production  |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,DNA Therapy,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Toon VIII - Moon 2 - Genolution Biotech Research Center              |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Laboratory,DNA Therapy,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Chamja VI - Moon 6 - Core Complexion Inc. Storage                    |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Pamah IV - Moon 14 - Civic Court Accounting                          |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Yulai VIII - Inner Circle Tribunal                                   |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Sigga VIII - Moon 4 - Zoar and Sons Factory                          |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Gergish X - Moon 3 - Royal Amarr Institute School                    |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Sharza III - Ministry of Internal Order Assembly Plant               |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Malma VII - Amarr Certified News Development Studio                  |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Gambling,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Chej VII - Amarr Trade Registry Information Center                   |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Ahbazon IV - Moon 1 - Imperial Shipment Storage                      |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Aring VIII - Moon 7 - Ministry of Internal Order Assembly Plant      |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Apanake VIII - Moon 8 - Sisters of EVE Bureau                        |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Beke IV - TransStellar Shipping Storage                              |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Olin II - Moon 13 - Sisters of EVE Bureau                            |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Diaderi VIII - Moon 4 - Amarr Navy Assembly Plant                    |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Vecamia VII - Moon 2 - Ministry of Assessment Archives               |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Doza I - Amarr Trade Registry Information Center                     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Cleyd IV - Moon 6 - Ministry of Assessment Information Center        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Shapisin I - Sisters of EVE Bureau                                   |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Hirizan VIII - Wiyrkomi Corporation Factory                          |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Shapisin VII - Moon 2 - Core Complexion Inc. Factory                 |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Sheroo VIII - X-Sense Chemical Refinery                              |                   0.35 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Laboratory,Factory,Repair Facilities,Market,Refinery,Reprocessing Plant,Courier Missions,Bounty Missions
 Vecamia V - Moon 1 - Ministry of Assessment Archives                 |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Iderion IX - Moon 18 - Core Complexion Inc. Factory                  |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Sigga VIII - Moon 15 - Sisters of EVE Bureau                         |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Cleyd VI - Moon 4 - Carthum Conglomerate Production Plant            |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Keri VI - Moon 1 - Amarr Trade Registry Archives                     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Leran VI - Civic Court Accounting                                    |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Nasreri V - Moon 4 - Amarr Trade Registry Information Center         |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Ashokon XIII - Moon 16 - Amarr Certified News Development Studio     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Gambling,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Pakhshi IX - Moon 20 - CONCORD Bureau                                |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Tahli I - Moon 1 - Ministry of War Bureau Offices                    |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Diaderi II - Amarr Navy Assembly Plant                               |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Habu V - Moon 2 - Pend Insurance Depository                          |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Petidu IV - Moon 6 - Freedom Extension Storage                       |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Agal I - Kaalakiota Corporation Factory                              |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Abhan VII - Moon 1 - Zoar and Sons Factory                           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Partod VII - Moon 18 - Ministry of Internal Order Testing Facilities |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Laboratory,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Zoohen III - Theology Council Tribunal                               |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Shalne VII - Moon 1 - Aliastra Retail Center                         |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Paintshop,Fitting,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Tekaima I - Moon 1 - CONCORD Bureau                                  |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Chamja V - Moon 12 - Core Complexion Inc. Warehouse                  |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Lela VI - Moon 3 - Amarr Trade Registry Archives                     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Cleyd V - Carthum Conglomerate Factory                               |                    0.3 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Paintshop,Fitting,Gambling,Laboratory,Factory,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Black Market,Market,Refinery,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Ahbazon VI - Imperial Shipment Storage                               |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Sheroo X - Moon 11 - Amarr Certified News Publisher                  |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Gambling,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Yulai X - DED Assembly Plant                                         |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Pashanai IV - Moon 3 - Amarr Constructions Production Plant          |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Pamah V - Moon 20 - Ministry of War Information Center               |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Pamah II - Moon 1 - Ministry of War Bureau Offices                   |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Cleyd IV - Moon 13 - Ministry of Assessment Information Center       |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Keri VII - Moon 1 - Imperial Shipment Storage                        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Abhan VIII - Moon 1 - Quafe Company Warehouse                        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Alal III - Amarr Civil Service Bureau Offices                        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Olin II - Moon 7 - Core Complexion Inc. Storage                      |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Imya VIII - Moon 3 - Ministry of War Information Center              |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Yulai IX - CONCORD Bureau                                            |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Azedi IX - Ministry of Internal Order Logistic Support               |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Keri X - Imperial Shipment Storage                                   |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Chiga I - Moon 2 - Quafe Company Warehouse                           |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Pamah V - Moon 9 - TransStellar Shipping Storage                     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Chej VI - Moon 4 - Freedom Extension Retail Center                   |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Paintshop,Fitting,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Market,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Vecamia VII - Moon 5 - Imperial Shipment Storage                     |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Atreen VIII - Carthum Conglomerate Factory                           |                    0.3 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Paintshop,Fitting,Gambling,Laboratory,Factory,Repair Facilities,DNA Therapy,Surgery,Cloning,Stock Exchange,Black Market,Market,Refinery,Reprocessing Plant,Interbus,Courier Missions,Bounty Missions
 Beke VI - Moon 4 - Amarr Navy Logistic Support                       |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Bantish VI - Moon 3 - Imperial Shipment Storage                      |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,Storage,News,Fitting,Repair Facilities,Market,Reprocessing Plant,Courier Missions
 Aring VIII - Moon 12 - Ministry of Internal Order Logistic Support   |                    0.5 |                     0.05 | Security Office,Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Repair Facilities,Surgery,Cloning,Market,Reprocessing Plant,Courier Missions,Bounty Missions
 Ashokon XIII - Moon 8 - Zoar and Sons Factory                        |                    0.5 |                     0.05 | Navy Offices,Loyalty Point Store,Office Rental,Docking,Insurance,News,Fitting,Factory,Repair Facilities,Market,Reprocessing Plant,Courier Missions,Bounty Missions
(183 rows)

